TEMPORARY_ID,REGULAR_WAGES,OVERTIME_WAGES,OTHER_WAGES,TOTAL_WAGES
041819769333,33640.98,0.00,65.94,33706.92
022521490853,6236.11,0.00,0.00,6236.11
065746696437,73860.73,12256.98,1130.49,87248.20
084858403960,99445.46,0.00,1875.20,101320.66
241003548733,176762.26,0.00,2655.99,179418.25
024955420279,23105.03,48.13,0.00,23153.16
029714932521,64179.74,0.00,0.00,64179.74
067753875692,87602.01,406.58,0.00,88008.59
041637441291,7157.86,0.00,12723.57,19881.43
085695004661,132775.62,0.00,2273.20,135048.82
151020946639,65387.43,0.00,0.00,65387.43
071850373870,90310.54,15243.33,0.00,105553.87
097974954839,47333.53,0.00,0.00,47333.53
056842281247,15493.13,0.00,27286.26,42779.39
049853779081,13797.61,0.00,49751.48,63549.09
026924953431,2913.12,0.00,5967.61,8880.73
062511897704,82050.35,0.00,0.00,82050.35
085534919881,98001.68,11182.32,1750.40,110934.40
096724734102,51865.85,56.16,0.00,51922.01
062604931698,62665.65,29.00,0.00,62694.65
042864258491,81213.56,4553.00,2600.00,88366.56
025779067776,80806.97,0.00,0.00,80806.97
077924633359,93191.20,4687.20,4250.24,102128.64
010987545933,52290.73,251.09,919.12,53460.94
801032592397,14266.21,0.00,3894.70,18160.91
047407488846,77240.10,0.00,1903.20,79143.30
078945277678,106786.21,0.00,2464.50,109250.71
026406510959,59045.63,6228.09,19.75,65293.47
020909864726,145184.00,0.00,3490.00,148674.00
141023354308,78470.58,0.00,16538.33,95008.91
049715998959,63520.80,0.00,0.00,63520.80
063783233432,90121.60,0.00,0.00,90121.60
037841935686,38054.95,722.78,599.97,39377.70
026804710283,13872.27,489.62,0.00,14361.89
059809109788,4669.61,0.00,540.79,5210.40
078793701845,54908.58,0.00,0.00,54908.58
010722885551,114094.82,0.00,2514.00,116608.82
064972247365,111679.40,0.00,2514.00,114193.40
098681150834,101563.60,1356.60,4946.26,107866.46
011042769428,84800.64,0.00,1627.60,86428.24
089417813558,99300.43,0.00,1406.40,100706.83
013638881366,108678.51,0.00,500.00,109178.51
094613082677,96844.32,0.00,0.00,96844.32
000774708713,82417.36,6076.77,1003.15,89497.28
065462361557,108983.83,0.00,0.00,108983.83
004373470387,99579.62,0.00,9130.97,108710.59
015458783391,57206.30,1999.82,0.00,59206.12
057653900160,19022.62,2455.14,7586.40,29064.16
028497882757,21096.91,0.00,0.00,21096.91
084794095472,113971.57,571.20,3938.61,118481.38
089823825023,77024.74,8630.41,1517.02,87172.17
014733068571,38407.89,0.00,8367.51,46775.40
070793844833,87449.18,0.00,0.00,87449.18
017980556964,34809.60,0.00,2493.12,37302.72
071933377131,49623.40,976.10,0.00,50599.50
043942970243,53993.09,7445.82,867.00,62305.91
007744038675,85840.06,0.00,32356.82,118196.88
078818043800,46982.56,4021.61,0.00,51004.17
047811848292,2752.64,22.44,16699.26,19474.34
481023962909,83557.11,0.00,1097.09,84654.20
059704202733,73527.24,5447.65,0.00,78974.89
029836721393,72408.24,0.00,0.00,72408.24
075414250129,68397.96,0.00,0.00,68397.96
008542128481,114379.47,0.00,0.00,114379.47
022825654092,93073.60,0.00,0.00,93073.60
621000403413,74937.49,2709.28,0.00,77646.77
092819272646,87264.24,0.00,0.00,87264.24
072563046294,10283.65,0.00,17.55,10301.20
072583456193,59045.61,9941.92,163.64,69151.17
003583627561,74155.43,8041.00,2072.90,84269.33
090595584695,85454.82,0.00,0.00,85454.82
075597512451,151955.87,0.00,701.30,152657.17
